company_id,company_name,broad_sector,pe_ratio,sector_median_pe,pe_vs_sector_median_pct,flag
ABB,Abbott India Ltd,Industrials,75.58,47.155,60.27992789735976,Caution
BAJAJFINSV,Bajaj Finserv Ltd,Financials,15.07,34.24,-55.987149532710276,Discount
BAJFINANCE,Bajaj Finance Ltd,Financials,69.2,34.24,102.10280373831775,Caution
BANKBARODA,Bank of Baroda,Financials,16.89,34.24,-50.671728971962615,Discount
BEL,Bharat Electronics Ltd,Industrials,17.89,47.155,-62.06128724419467,Discount
BHEL,Bharat Heavy Electricals Limited,Industrials,29.8,47.155,-36.804156505142615,Discount
BOSCHLTD,Bosch Ltd,Consumer Discretionary,58.43,38.005,53.7429285620313,Caution
BPCL,Bharat Petroleum Corporation Ltd,Energy,68.15,44.915,51.731047534231344,Caution
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,16.79,34.24,-50.96378504672898,Discount
COALINDIA,Coal India Ltd,Materials,34.27,55.62,-38.38547285149226,Discount
DMART,Avenue Supermarts Ltd,Consumer Discretionary,72.53,38.005,90.84331009077752,Caution
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,11.73,47.06,-75.07437314067148,Discount
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,15.62,38.005,-58.900144717800295,Discount
GAIL,GAIL (India) Ltd,Energy,25.84,44.915,-42.46910831570745,Discount
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,33.59,50.95,-34.072620215897935,Discount
GRASIM,Grasim Industries Ltd,Industrials,79.35,47.155,68.27483829922593,Caution
HAL,Hindustan Aeronautics Ltd,Industrials,71.89,47.155,52.454670766620715,Caution
HINDUNILVR,Hindustan Unilever Ltd,Consumer Staples,34.51,50.95,-32.26692836113838,Discount
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,20.83,34.24,-39.164719626168235,Discount
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,76.23,38.005,100.57887120115774,Caution
INDUSINDBK,IndusInd Bank Ltd,Financials,8.99,34.24,-73.74415887850468,Discount
INFY,Infosys Ltd,Information Technology,35.99,63.63,-43.43862957724344,Discount
IOC,Indian Oil Corporation,Energy,28.61,44.915,-36.30190359568073,Discount
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,60.44,38.005,59.03170635442703,Caution
IRFC,Indian Railway Finance Corporation Ltd,Financials,9.81,34.24,-71.34929906542055,Discount
JSWENERGY,JSW Energy Ltd,Energy,24.79,44.915,-44.80685739730602,Discount
LT,Larsen & Toubro Ltd,Industrials,30.8,47.155,-34.68349061605344,Discount
M&M,Mahindra & Mahindra Ltd,Consumer Discretionary,14.22,38.005,-62.58387054334956,Discount
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,20.78,38.005,-45.3229838179187,Discount
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,9.54,38.005,-74.89803973161426,Discount
NAUKRI,Info Edge (India) Ltd,Communication Services,32.88,48.33,-31.967721911855985,Discount
NHPC,NHPC Ltd,Energy,71.17,44.915,58.45485917844818,Caution
NTPC,NTPC Ltd,Energy,30.8,44.915,-31.426026939775127,Discount
ONGC,Oil & Natural Gas Corpn Ltd,Energy,18.15,44.915,-59.59033730379606,Discount
PIDILITIND,Pidilite Industries Ltd,Materials,36.12,55.62,-35.059331175836036,Discount
PNB,Punjab National Bank,Financials,19.29,34.24,-43.6623831775701,Discount
SBILIFE,SBI Life Insurance Company Ltd,Financials,69.98,34.24,104.38084112149532,Caution
SBIN,State Bank of India,Financials,54.93,34.24,60.426401869158866,Caution
SHREECEM,Shree Cement Ltd,Materials,25.87,55.62,-53.487953973390866,Discount
SHRIRAMFIN,Shriram Finance Ltd,Financials,68.53,34.24,100.14602803738318,Caution
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,67.07,38.005,76.47677937113535,Caution
TATAPOWER,Tata Power Company Ltd,Energy,14.5,44.915,-67.71679839697205,Discount
TITAN,Titan Company Ltd,Consumer Discretionary,10.13,38.005,-73.34561241941849,Discount
TRENT,Trent Ltd,Consumer Discretionary,8.65,38.005,-77.23983686357059,Discount
