company_id,company_name,broad_sector,latest_cfo,latest_cff,latest_net_profit,note
AXISBANK,Axis Bank Ltd,Financials,-5555.0,22341.0,24861.0,"Caution: negative CFO/positive CFF can be structurally normal for banks/NBFCs due to loan disbursement patterns — review individually, not as automatic distress."
BAJAJFINSV,Bajaj Finserv Ltd,Financials,-68674.0,82709.0,15595.0,"Caution: negative CFO/positive CFF can be structurally normal for banks/NBFCs due to loan disbursement patterns — review individually, not as automatic distress."
BAJFINANCE,Bajaj Finance Ltd,Financials,-72760.0,82415.0,14451.0,"Caution: negative CFO/positive CFF can be structurally normal for banks/NBFCs due to loan disbursement patterns — review individually, not as automatic distress."
BANKBARODA,Bank of Baroda,Financials,-6274.0,5476.0,18869.0,"Caution: negative CFO/positive CFF can be structurally normal for banks/NBFCs due to loan disbursement patterns — review individually, not as automatic distress."
BHEL,Bharat Heavy Electricals Limited,Industrials,-3713.0,2656.0,282.0,Standard distress pattern for non-financial company — recommend review.
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,-35683.0,38471.0,3420.0,"Caution: negative CFO/positive CFF can be structurally normal for banks/NBFCs due to loan disbursement patterns — review individually, not as automatic distress."
GRASIM,Grasim Industries Ltd,Industrials,-10719.0,33908.0,9926.0,Standard distress pattern for non-financial company — recommend review.
M&M,Mahindra & Mahindra Ltd,Consumer Discretionary,-5630.0,12281.0,12270.0,Standard distress pattern for non-financial company — recommend review.
PFC,Power Finance Corporation Ltd,Financials,-97820.0,101261.0,26461.0,"Caution: negative CFO/positive CFF can be structurally normal for banks/NBFCs due to loan disbursement patterns — review individually, not as automatic distress."
PNB,Punjab National Bank,Financials,-27939.0,3518.0,9157.0,"Caution: negative CFO/positive CFF can be structurally normal for banks/NBFCs due to loan disbursement patterns — review individually, not as automatic distress."
RECLTD,REC Ltd,Financials,-57723.0,59588.0,14145.0,"Caution: negative CFO/positive CFF can be structurally normal for banks/NBFCs due to loan disbursement patterns — review individually, not as automatic distress."
SHRIRAMFIN,Shriram Finance Ltd,Financials,-31101.0,27609.0,7399.0,"Caution: negative CFO/positive CFF can be structurally normal for banks/NBFCs due to loan disbursement patterns — review individually, not as automatic distress."
TVSMOTOR,TVS Motor Company Ltd,Consumer Discretionary,-1253.0,2759.0,1779.0,Standard distress pattern for non-financial company — recommend review.
